Model,Group,Axis Name,mean,sd,n
google/gemini-2.5-flash,Pragmatic Moderates,Economic Costs,88.45,22.5,119
google/gemini-2.5-flash,Pragmatic Moderates,Negotiation Readiness,93.49,17.67,119
google/gemini-2.5-flash,Pragmatic Moderates,Nuclear Sovereignty,85.21,27.97,120
google/gemini-2.5-flash,Pragmatic Moderates,Security Function,75.21,28.28,119
google/gemini-2.5-flash,Reformists,Economic Costs,80.46,29.5,119
google/gemini-2.5-flash,Reformists,Negotiation Readiness,86.67,20.22,120
google/gemini-2.5-flash,Reformists,Nuclear Sovereignty,80.88,24.94,119
google/gemini-2.5-flash,Reformists,Security Function,66.6,28.24,119
openai/gpt-5.4,Hardline-Principlists,Economic Costs,18.33,25.67,120
openai/gpt-5.4,Hardline-Principlists,Negotiation Readiness,25.0,28.74,119
openai/gpt-5.4,Hardline-Principlists,Nuclear Sovereignty,99.17,9.13,120
openai/gpt-5.4,Hardline-Principlists,Security Function,100.0,0.0,120
openai/gpt-5.4,IRGC/Securocrats,Economic Costs,48.96,29.95,120
openai/gpt-5.4,IRGC/Securocrats,Negotiation Readiness,45.0,30.33,120
openai/gpt-5.4,IRGC/Securocrats,Nuclear Sovereignty,100.0,0.0,120
openai/gpt-5.4,IRGC/Securocrats,Security Function,100.0,0.0,120
openai/gpt-5.4,Pragmatic Moderates,Economic Costs,99.17,7.2,120
openai/gpt-5.4,Pragmatic Moderates,Negotiation Readiness,98.12,11.76,120
openai/gpt-5.4,Pragmatic Moderates,Nuclear Sovereignty,73.75,30.72,120
openai/gpt-5.4,Pragmatic Moderates,Security Function,54.38,31.2,120
openai/gpt-5.4,Reformists,Economic Costs,93.96,18.33,120
openai/gpt-5.4,Reformists,Negotiation Readiness,98.12,6.61,120
openai/gpt-5.4,Reformists,Nuclear Sovereignty,78.33,21.97,120
openai/gpt-5.4,Reformists,Security Function,58.75,25.45,120
x-ai/grok-4.3,Hardline-Principlists,Economic Costs,7.29,23.24,120
x-ai/grok-4.3,Hardline-Principlists,Negotiation Readiness,6.46,23.71,120
x-ai/grok-4.3,Hardline-Principlists,Nuclear Sovereignty,98.33,12.86,120
x-ai/grok-4.3,Hardline-Principlists,Security Function,94.58,22.03,120
x-ai/grok-4.3,IRGC/Securocrats,Economic Costs,7.35,18.8,119
x-ai/grok-4.3,IRGC/Securocrats,Negotiation Readiness,7.5,23.95,120
x-ai/grok-4.3,IRGC/Securocrats,Nuclear Sovereignty,96.46,17.24,120
x-ai/grok-4.3,IRGC/Securocrats,Security Function,95.0,21.89,120
x-ai/grok-4.3,Pragmatic Moderates,Economic Costs,91.25,24.82,120
x-ai/grok-4.3,Pragmatic Moderates,Negotiation Readiness,92.08,25.92,120
x-ai/grok-4.3,Pragmatic Moderates,Nuclear Sovereignty,36.04,36.06,120
x-ai/grok-4.3,Pragmatic Moderates,Security Function,21.46,28.86,120
x-ai/grok-4.3,Reformists,Economic Costs,90.76,22.98,119
x-ai/grok-4.3,Reformists,Negotiation Readiness,96.46,17.24,120
x-ai/grok-4.3,Reformists,Nuclear Sovereignty,48.12,37.82,120
x-ai/grok-4.3,Reformists,Security Function,19.79,26.51,120
